ua,nl_correct,nl_wrong1,nl_wrong2
знову,het weer,de natuur,de woensdag
інструмент,het gereedschap,het schip,het gezin
гора,de berg,het lichaam,de zondag
лікар,de dokter,de dochter,de rok
людина,de mens,de suiker,de boter
м’ясна крамниця,de slagerij,het resultaat,het onderdeel
брат,de broer,de herfst,de water
село,de dorp,de stoel,het nummer
хмара,de wolk,het schip,de zaterdag
подруга,de vriendin,de peper,het gezicht
хліб,het brood,de water,het seizoen
м'ясо,de vlees,de café,het klimaat
велосипед,de fiets,de broer,de klok
картина,het schilderij,het seizoen,het klimaat
фрукти,de fruit,de woord,het meisje
рівень,het niveau,de aarde,de arts
сусід,de buurman,de ui,de vis
кіт,de kat,het nummer,de persoon
острів,de eiland,het broodje,het programma
тварина,het dier,de wind,de vlees
булочка,het broodje,het probleem,de slager
літо,de zomer,het werk,de ijs
ресторан,de restaurant,het geneesmiddel,de fabriek
кімната,de kamer,de jongen,de ziekenhuis
маляр,de schilder,de leraar,de week
олія,de olie,het ongeluk,de vogel
тема,het onderwerp,het gezin,het voertuig
робота,het werk,het brood,de strand
кафе,de café,het geheugen,de pasta
помідор,de tomaat,de taart,het resultaat
судно,het schip,de kat,de zoon
нещасний випадок,het ongeluk,het gebied,de tas
підприємство,het bedrijf,de dokter,de jongen
університет,de universiteit,de vriend,de maan
хвилина,de minuut,de groente,het werk
салат,de salade,de broek,de aarde
новини,het nieuws,het schilderij,het cadeau
гра,het spel,het oor,de vlees
поїзд,de trein,het boek,de boot
повітря,de lucht,de schoen,het jaar
взуття,de schoen,de kast,de moeder
сир,de kaas,de zon,de school
обличчя,het gezicht,de plein,de tram
частина,het onderdeel,de hond,de week
місяць,de maand,de telefoon,de architect
яйце,de ei,de avond,de ober
шафа,de kast,de dochter,het jaar
пекар,de bakker,de winkel,de moeder
стіл,de tafel,het programma,de vader
квітка,de bloem,de vrouw,de dinsdag
сім'я,de familie,de slager,de vlees
особа,de persoon,de appel,de restaurant
карта,de kaart,de bier,de paspoort
офіціантка,de serveerster,de vrijdag,de slager
бабуся,de oma,het centrum,de trui
волосся,het haar,de dag,de muur
неділя,de zondag,de woensdag,de koek
приклад,de voorbeeld,de opa,de dorp
перець,de paprika,de wortel,de jongen
ліжко,de bed,de pizza,de kast
квартира,het appartement,de kantoor,de oma
вікно,de raam,de wijn,de komkommer
лампа,de lamp,het geld,de tas
м'ясник,de slager,de bier,de paspoort
ніч,de nacht,de kantoor,de rok
сад,de tuin,de paspoort,de vliegveld
цукор,de suiker,de haven,de berg
гроші,het geld,de lente,het lichaam
соус,de saus,de tafel,de zomer
батько,de vader,de raam,de laptop
трамвай,de tram,de banaan,de groente
аеропорт,de vliegveld,de haven,het gebouw
пиво,de bier,de raam,de wind
сміття,het afval,de natuur,het gebied
гаманець,de portemonnee,de luchthaven,de groente
секунда,de seconde,de donderdag,de middag
світло,het licht,de mens,de kamer
апельсин,de sinaasappel,de seconde,de zondag
фабрика,de fabriek,de winter,de man
година,het uur,de lamp,de fabriek
сезон,het seizoen,de taart,het klimaat
ключ,de sleutel,het resultaat,de natuur
метро,de metro,het huis,de regen
жінка,de vrouw,de strand,het bloed
піца,de pizza,de eiland,het oog
понеділок,de maandag,de pizza,de wijn
лікарня,de ziekenhuis,het geheim,de computer
дідусь,de opa,de vader,de fabriek
сумка,de tas,de nacht,de bed
пляж,de strand,het schip,de laptop
аптека,de apotheek,de bloem,het seizoen
вино,de wijn,het schip,de eiland
чай,de thee,de architect,het hotel
картина,het schilderij,de boter,de man
річка,de rivier,de bakker,de bloem
результат,het resultaat,het haar,de docent
суп,de soep,de ober,de tram
лікар,de arts,de koffie,de tablet
печиво,de koek,het gebouw,de melk
лід,de ijs,de kantoor,de bier
студент,de student,de olie,het thema
поліцейний,de politieagent,de bloem,de seconde
цибуля,de ui,de paprika,de thee
картопля,de aardappel,de ei,de sinaasappel
зима,de winter,de dokter,de boot
банан,de banaan,het geheugen,het bedrijf
кухар,de kok,de tram,de vlees
бібліотека,de bibliotheek,het schilderij,het huis
